book_id,book_name,rates,price
2,A Light in the Attic,3,51.77
3,Tipping the Velvet,1,53.74
4,Soumission,1,50.1
5,Sharp Objects,4,47.82
6,Sapiens: A Brief History of Humankind,5,54.23
7,The Requiem Red,1,22.65
8,The Dirty Little Secrets of Getting Your Dream Job,4,33.34
9,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",3,17.93
10,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,4,22.6
11,The Black Maria,1,52.15
12,"Starving Hearts (Triangular Trade Trilogy, #1)",2,13.99
13,Shakespeare's Sonnets,4,20.66
14,Set Me Free,5,17.46
15,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),5,52.29
16,Rip it Up and Start Again,5,35.02
17,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",3,57.25
18,Olio,1,23.88
19,Mesaerion: The Best Science Fiction Stories 1800-1849,1,37.59
20,Libertarianism for Beginners,2,51.33
21,It's Only the Himalayas,2,45.17
22,In Her Wake,1,12.84
23,How Music Works,2,37.32
24,"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",3,30.52
25,Chase Me (Paris Nights #2),5,25.27
26,Black Dust,5,34.53
27,Birdsong: A Story in Pictures,3,54.64
28,America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,3,22.5
29,Aladdin and His Wonderful Lamp,3,53.13
30,Worlds Elsewhere: Journeys Around Shakespeareâs Globe,5,40.3
31,Wall and Piece,4,44.18
32,The Four Agreements: A Practical Guide to Personal Freedom,5,17.66
33,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,3,31.05
34,The Elephant Tree,5,23.82
35,The Bear and the Piano,1,36.89
36,Sophie's World,5,15.94
37,Penny Maybe,3,33.29
38,Maude (1883-1993):She Grew Up with the country,2,18.02
39,"In a Dark, Dark Wood",1,19.63
40,Behind Closed Doors,4,52.22
41,You can't bury them all: Poems,2,33.63
42,A Light in the Attic,3,51.77
43,Tipping the Velvet,1,53.74
44,Soumission,1,50.1
45,Sharp Objects,4,47.82
46,Sapiens: A Brief History of Humankind,5,54.23
47,The Requiem Red,1,22.65
48,The Dirty Little Secrets of Getting Your Dream Job,4,33.34
49,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",3,17.93
50,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,4,22.6
51,The Black Maria,1,52.15
52,"Starving Hearts (Triangular Trade Trilogy, #1)",2,13.99
53,Shakespeare's Sonnets,4,20.66
54,Set Me Free,5,17.46
